 feature,importance
num__CD34kgx10d6,0.11120649983173041 
num__Rbodymass,0.09984573715287082
num__CD3dkgx10d8,0.09794853280438866
num__Recipientage,0.09613240477234304
num__Donorage,0.09044184099953506
num__CD3dCD34,0.08607666915047843
num__CMVstatus,0.03332974115775686
num__DonorABO,0.02695604008109213
num__HLAgrI,0.023899522632526055
num__Recipientageint,0.023554025350317573
num__Riskgroup,0.02351073922253395
num__RecipientABO,0.022923213209546163
cat__Disease_lymphoma,0.0220565280572741
num__Donorage35,0.01781208965708551
num__DonorCMV,0.017470778220321566
num__RecipientRh,0.017439824587998278
num__Alel,0.01710559519588022
num__Recipientgender,0.016959027913595628
num__Antigen,0.01674815143504794
num__ABOmatch,0.01670852142147109
num__HLAmatch,0.015052556372399065
num__RecipientCMV,0.01408662952929159
cat__Disease_chronic,0.012488591830846829
cat__Disease_ALL,0.012266653513744863
num__Stemcellsource,0.01085767759759919
num__Recipientage10,0.010589616885540509
cat__Disease_AML,0.009725204120685676
num__HLAmismatch,0.008898429271647936
num__Txpostrelapse,0.008187051679904625
cat__Disease_nonmalignant,0.007227831823484867
num__Diseasegroup,0.00714173321051439
num__Gendermatch,0.005352541310547017
